CH1 [uVolt],CH2 [uVolt]
-80000,72000
160000,104000
80000,72000
-80000,104000
-80000,72000
160000,104000
-80000,72000
160000,104000
160000,96000,01
-80000,72000
-80000,96000,01
160000,64000
80000,96000,01
-80000,64000
-80000,96000,01
160000,64000
-80000,96000,01
160000,64000
-80000,96000,01
160000,64000
-80000,96000,01
160000,64000
-80000,96000,01
160000,64000
-80000,64000
160000,96000,01
160000,64000
-80000,96000,01
-80000,64000
160000,96000,01
160000,64000
-80000,96000,01
-80000,64000
160000,96000,01
-80000,88000,01
160000,64000
-80000,88000,01
160000,64000
-80000,88000,01
160000,56000
-80000,88000,01
160000,56000
-80000,88000,01
160000,56000
-80000,56000
160000,88000,01
80000,88000,01
-80000,48000
-80000,56000
160000,88000,01
-80000,56000
160000,88000,01
-80000,56000
160000,88000,01
80000,56000
-80000,88000,01
-80000,88000,01
160000,48000
-80000,56000
160000,88000,01
-80000,80000,01
160000,56000
-80000,80000,01
160000,48000
-80000,80000,01
160000,48000
-80000,80000,01
160000,48000
-80000,80000,01
160000,48000
-80000,80000,01
160000,48000
160000,80000,01
-80000,48000
-80000,80000,01
160000,40000
-80000,80000,01
160000,48000
160000,48000
-80000,80000,01
-80000,80000,01
160000,48000
160000,48000
-80000,80000,01
-80000,48000
160000,80000,01
-80000,48000
160000,80000,01
-80000,48000
160000,80000,01
80000,48000
-80000,72000
-80000,72000
160000,48000
-80000,40000
160000,80000,01
-80000,48000
160000,72000
-80000,48000
160000,72000
-80000,72000
160000,40000
80000,72000
-80000,40000
-80000,72000
160000,40000
-80000,72000
160000,40000
-80000,72000
160000,40000
-80000,40000
160000,72000
-80000,40000
160000,72000
-80000,72000
160000,40000
-80000,40000
160000,72000
-80000,40000
160000,72000
-80000,64000
160000,40000
-80000,64000
160000,40000
-80000,64000
160000,40000
80000,64000
-80000,40000
-80000,72000
160000,32000
-80000,64000
160000,32000
-80000,40000
160000,64000
80000,64000
-80000,32000
-80000,64000
160000,32000
-80000,32000
160000,72000
-80000,64000
160000,32000
160000,32000
-80000,64000
80000,64000
-80000,32000
80000,64000
-80000,32000
-80000,64000
160000,32000
-80000,64000
160000,32000
-80000,32000
160000,64000
80000,32000
-80000,64000
80000,32000
-80000,64000
-80000,32000
160000,64000
-80000,32000
160000,64000
-80000,32000
160000,64000
160000,32000
-80000,64000
-80000,64000
160000,24000
-80000,56000
160000,32000
-80000,32000
160000,56000
-80000,24000
160000,64000
-80000,56000
160000,24000
160000,32000
-80000,56000
-80000,32000
160000,56000
80000,24000
-80000,64000
-80000,56000
160000,24000
-80000,56000
160000,24000
-80000,56000
160000,24000
80000,24000
-80000,56000
-80000,24000
160000,56000
-80000,24000
160000,56000
-80000,24000
160000,56000
-80000,56000
160000,24000
-80000,24000
160000,56000
160000,24000
-80000,56000
80000,24000
-80000,56000
-80000,24000
160000,56000
-80000,56000
160000,24000
-80000,24000
160000,56000
-80000,24000
160000,56000
-80000,24000
160000,56000
160000,24000
-80000,56000
-80000,24000
160000,56000
80000,24000
-80000,56000
-80000,48000
160000,16000
-80000,24000
160000,48000
160000,48000
-80000,16000
-80000,48000
160000,16000
-80000,48000
160000,16000
-80000,48000
160000,16000
-80000,48000
160000,16000
160000,48000
-80000,16000
-80000,16000
160000,56000
-80000,48000
160000,16000
-80000,48000
160000,16000
-80000,48000
160000,16000
80000,48000
-80000,16000
-80000,48000
160000,16000
80000,48000
-80000,16000
-80000,48000
160000,16000
-80000,16000
160000,48000
-80000,48000
160000,16000
-80000,16000
160000,48000
-80000,48000
160000,16000
80000,16000
-80000,48000
-80000,16000
160000,48000
-80000,16000
160000,48000
80000,16000
-80000,48000
-80000,16000
160000,48000
80000,16000
-80000,48000
-80000,16000
160000,48000
-80000,48000
160000,8000
-80000,16000
160000,48000
80000,16000
-80000,48000
-80000,8000
160000,48000
80000,16000
-80000,48000
-80000,48000
160000,8000
-80000,16000
160000,48000
80000,16000
-80000,48000
-80000,40000
160000,8000
80000,8000
-80000,48000
-80000,40000
160000,8000
