t,CH1 [uV],CH2 [uV]
1005,80000,120000
1006,0,40000
1007,80000,120000
1008,0,40000
1009,80000,120000
1010,0,40000
1011,80000,120000
1012,0,120000
1013,80000,0
1014,0,40000
1015,80000,120000
1016,0,40000
1017,80000,120000
1018,0,120000
1019,80000,0
1020,0,40000
1021,80000,120000
1022,0,120000
1023,80000,0
1024,0,120000
1025,80000,0
1026,0,120000
1027,80000,0
1028,0,40000
1029,80000,120000
1030,0,40000
1031,80000,120000
1032,0,40000
1033,80000,120000
1034,0,40000
1035,80000,120000
1036,0,40000
1037,80000,120000
1038,0,120000
1039,80000,0
1040,0,40000
1041,80000,120000
1042,0,120000
1043,80000,0
1044,0,120000
1045,80000,0
1046,0,120000
1047,80000,0
1048,0,120000
1049,80000,0
1050,0,40000
1051,80000,120000
1052,0,120000
1053,80000,0
1054,0,40000
1055,80000,120000
1056,0,120000
1057,80000,0
1058,80000,120000
1059,0,0
1060,0,120000
1061,80000,0
1062,0,40000
1063,80000,120000
1064,0,120000
1065,80000,0
1066,0,120000
1067,80000,0
1068,0,120000
1069,80000,0
1070,0,120000
1071,80000,0
1072,0,40000
1073,80000,120000
1074,0,120000
1075,80000,0
1076,0,40000
1077,80000,120000
1078,0,120000
1079,80000,0
1080,0,120000
1081,80000,0
1082,0,120000
1083,80000,0
1084,80000,120000
1085,0,0
1086,0,120000
1087,80000,0
1088,0,120000
1089,80000,0
1090,0,120000
1091,80000,0
1092,0,0
1093,80000,120000
1094,0,120000
1095,80000,0
1096,0,120000
1097,80000,0
1098,0,120000
1099,80000,0
1100,80000,120000
1101,0,0
1102,0,0
1103,80000,120000
1104,0,0
1105,80000,120000
1106,0,120000
1107,80000,0
1108,0,0
1109,80000,120000
1110,0,0
1111,80000,120000
1112,0,120000
1113,80000,0
1114,0,0
1115,80000,120000
1116,0,120000
1117,80000,0
1118,0,120000
1119,80000,0
1120,0,120000
1121,80000,0
1122,80000,120000
1123,0,0
1124,0,0
1125,80000,120000
1126,0,120000
1127,80000,0
1128,0,0
1129,80000,120000
1130,0,120000
1131,80000,0
1132,0,0
1133,80000,120000
1134,0,0
1135,80000,120000
1136,0,0
1137,80000,120000
1138,0,120000
1139,80000,0
1140,0,0
1141,80000,120000
1142,0,0
1143,80000,120000
1144,0,0
1145,80000,120000
1146,0,0
1147,80000,120000
1148,0,120000
1149,80000,0
1150,0,0
1151,80000,120000
1152,0,120000
1153,80000,0
1154,0,0
1155,80000,120000
1156,0,0
1157,80000,120000
1158,0,0
1159,80000,120000
1160,0,0
1161,80000,120000
1162,0,0
1163,80000,120000
1164,0,0
1165,80000,120000
1166,0,0
1167,80000,120000
1168,0,80000
1169,80000,0
1170,0,0
1171,80000,120000
1172,80000,120000
1173,0,0
1174,0,0
1175,80000,120000
1176,0,0
1177,80000,120000
1178,0,0
1179,80000,120000
1180,0,0
1181,80000,120000
1182,0,80000
1183,80000,0
1184,0,0
1185,80000,120000
1186,0,0
1187,80000,120000
1188,0,80000
1189,80000,0
1190,0,0
1191,80000,120000
1192,0,0
1193,80000,120000
1194,0,80000
1195,80000,0
1196,0,0
1197,80000,120000
1198,0,80000
1199,80000,0
1200,0,0
1201,80000,120000
1202,0,80000
1203,80000,0
1204,0,0
1205,80000,120000
1206,0,0
1207,80000,120000
1208,0,0
1209,80000,120000
1210,0,120000
1211,80000,0
1212,0,80000
1213,80000,0
1214,0,80000
1215,80000,0
1216,0,0
1217,80000,120000
1218,0,0
1219,80000,120000
1220,0,80000
1221,80000,0
1222,0,80000
1223,80000,0
1224,0,80000
1225,80000,0
1226,0,0
1227,80000,120000
1228,0,80000
1229,80000,0
1230,0,0
1231,80000,120000
1232,0,0
1233,80000,120000
1234,0,0
1235,80000,120000
1236,0,0
1237,80000,120000
1238,0,0
1239,80000,120000
1240,0,80000
1241,80000,0
1242,0,80000
1243,80000,0
1244,0,80000
1245,80000,0
1246,0,80000
1247,80000,0
1248,0,0
1249,80000,120000
1250,0,80000
1251,80000,0
1252,0,0
1253,80000,120000
1254,0,0
1255,80000,120000
1256,0,0
1257,80000,120000
1258,0,80000
1259,80000,0
1260,0,0
1261,80000,120000
1262,0,80000
1263,80000,0
1264,0,80000
1265,80000,0
1266,0,0
1267,80000,120000
1268,0,80000
1269,80000,0
1270,0,0
1271,80000,120000
1272,0,80000
1273,80000,0
1274,0,0
1275,80000,120000
1276,0,0
1277,80000,120000
1278,0,0
1279,80000,120000
1280,0,80000
1281,80000,0
1282,0,80000
1283,80000,0
1284,0,0
1285,80000,120000
1286,0,0
1287,80000,120000
1288,0,80000
1289,80000,0
1290,0,80000
1291,80000,0
1292,0,80000
1293,80000,0
1294,0,0
1295,80000,120000
1296,0,0
1297,80000,120000
1298,0,80000
1299,80000,0
1300,0,0
1301,80000,120000
1302,0,80000
1303,80000,0
1304,0,80000
1305,80000,0
1306,0,80000
1307,80000,0
1308,0,80000
1309,80000,0
1310,0,80000
1311,80000,0
1312,0,0
1313,80000,120000
1314,0,0
1315,80000,120000
1316,0,80000
1317,80000,0
1318,0,80000
1319,80000,0
1320,0,80000
1321,80000,0
1322,0,0
1323,80000,120000
1324,0,80000
1325,80000,0
1326,0,80000
1327,80000,0
